Designator,Mid X,Mid Y,Rotation,Layer
C101,129.54,-149.606,180.0,bottom
C102,181.1872,-155.321,0.0,top
C103,125.857,-132.842,180.0,bottom
C110,165.4556,-156.2354,90.0,bottom
C501,180.595,-122.936,0.0,top
C502,181.102,-149.352,180.0,bottom
C503,180.6448,-131.8514,180.0,bottom
C505,195.326,-125.2474,180.0,bottom
C506,194.945,-149.352,180.0,bottom
C507,196.977,-128.651,180.0,bottom
C540,154.178,-138.303,0.0,top
C541,154.9654,-125.0442,180.0,bottom
CN1,104.902,-163.576,90.0,top
FB101,157.099,-157.988,180.0,top
R101,129.286,-133.985,270.0,bottom
R103,117.983,-135.001,270.0,bottom
R104,115.824,-135.001,270.0,bottom
R105,120.142,-135.001,270.0,bottom
RP500,158.623,-148.209,90.0,bottom
RP501,158.662,-153.6,270.0,bottom
RP502,156.806,-129.1715,90.0,bottom
RP503,168.402,-149.479,270.0,bottom
RP503.9,150.114,-131.826,180.0,bottom
RP504,149.987,-127.3935,90.0,bottom
U101,123.571,-154.813,180.0,top
U501,180.976,-136.017,0.0,top
U505,195.327,-136.017,0.0,top
U540,150.723,-146.431,0.0,top
U541,150.723,-128.5935,0.0,top
X1,170.18,-155.194,90.0,top
